name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,gameAgeDays,revenuePerCopy
Realms Of Bondage,2024-11-04,26401,14.99,346056.0,5.603960071763862,97,Indie,Pink Tea,Pink Tea,2353700,-56,13.10768531495019
No Plan B,2024-03-04,28877,14.99,340655.0,13.046670351591878,91,Indie,GFX47,GFX47,1269020,189,11.79675866606642
1000xRESIST,2024-09-05,19741,19.99,334157.0,6.69160734978218,97,Indie,Fellow Traveller,sunset visitor 斜陽過客,1675830,4,16.927055367002684
9 Days,2024-08-03,24560,14.99,331338.0,10.927570712807812,62,Indie,MVR,MVR,2075720,37,13.490960912052117
Goblin Stone,2024-12-03,16012,24.99,329360.0,23.564467837801327,55,Indie,Orc Chop Games,Orc Chop Games,1521970,-85,20.56957282038471
Headquarters: World War II,2024-11-04,10073,39.99,328150.0,17.039335573177947,78,AA,Slitherine Ltd.,Starni Games,1840800,-56,32.577186538270624
Immortal Family,2024-11-07,37184,13.99,327846.0,20.283770415253127,56,Indie,方块游戏(CubeGame),一起来修仙工作室,2013240,-59,8.816856712564544
Sinister Night 2,2024-03-04,37602,9.99,327297.0,60.02804119836794,82,Indie,Bug Inventors,Bug Inventors,2761670,189,8.704244455082177
Alex Jones: NWO Wars,2024-03-01,20806,17.76,323316.0,1.3669062849562543,94,Indie,NWO Wars Team,NWO Wars Team,2487350,192,15.539555897337307
Pathless Woods,2024-02-04,24230,19.99,318984.0,31.74362012573788,77,Indie,AniYa Games Studio,AniYa Games Studio,1726130,218,13.164836978951712
Sons of Valhalla,2024-05-04,19088,19.99,316497.0,4.631982260827467,65,AA,Hooded Horse,Pixel Chest,1409830,128,16.580940905280805
Reign of Guilds,2024-04-04,9654,39.99,312155.0,49.44438001420057,70,Indie,Atlant Games ltd,Atlant Games ltd,716350,158,32.334265589393
